      who      role    to whom :
<Ирина Ивановна WIFE Егор Иванов>
<Петя Иванов SON Егор Иванов>
<Маша Иванова DAUGHTER Егор Иванов>
<Егор Иванов HUSBAND Ирина Ивановна>
<Петя Иванов SON Ирина Ивановна>
<Маша Иванова DAUGHTER Ирина Ивановна>
<Егор Иванов FATHER Петя Иванов>
<Ирина Ивановна MOTHER Петя Иванов>
<Петя Иванов BROTHER Маша Иванова>
<Ваня Иванов SON Петя Иванов>
<Анна Иванова DAUGHTER Петя Иванов>
<Саша Иванов SON Петя Иванов>
<Егор Иванов FATHER Маша Иванова>
<Ирина Ивановна MOTHER Маша Иванова>
<Маша Иванова SISTER Петя Иванов>
<Петя Иванов FATHER Ваня Иванов>
<Ваня Иванов BROTHER Анна Иванова>
<Ваня Иванов BROTHER Саша Иванов>
<Петя Иванов FATHER Анна Иванова>
<Анна Иванова SISTER Ваня Иванов>
<Анна Иванова SISTER Саша Иванов>
<Петя Иванов FATHER Саша Иванов>
<Саша Иванов BROTHER Ваня Иванов>
<Саша Иванов BROTHER Анна Иванова>
